trade_date,stock_code,return_adj,open,close,turnover_rate
2019-02-18,600519.SH,0.0209995,731.0,740.0,0.003005
2019-02-19,600519.SH,-0.0124865,740.96,730.76,0.002348
2019-02-20,600519.SH,-0.0119875,735.0,722.0,0.003016
2019-02-21,600519.SH,-0.00242382,720.0,720.25,0.002376
2019-02-22,600519.SH,0.00799722,717.0,726.01,0.002062
2019-02-25,600519.SH,0.022479,730.75,742.33,0.006577
2019-02-26,600519.SH,-0.0201797,747.8,727.35,0.004614
2019-02-27,600519.SH,0.0183543,733.0,740.7,0.005249
2019-02-28,600519.SH,0.0193196,737.9,755.01,0.004536
2019-03-01,600519.SH,0.0454166,761.5,789.3,0.005082
2019-03-04,600519.SH,-0.00942607,795.0,781.86,0.006733
2019-03-05,600519.SH,-0.00266032,785.0,779.78,0.003569
2019-03-06,600519.SH,-0.0151068,775.0,768.0,0.00372
2019-03-07,600519.SH,-0.0252604,762.22,748.6,0.004791
2019-03-08,600519.SH,-0.0148277,737.9,737.5,0.004161
2019-02-18,601319.SH,0.0262238,5.75,5.87,0.100104
2019-02-19,601319.SH,0.0800681,5.85,6.34,0.322479
2019-02-20,601319.SH,-0.0141956,6.21,6.25,0.156251
2019-02-21,601319.SH,-0.0016,6.28,6.24,0.172646
2019-02-22,601319.SH,0.0576923,6.29,6.6,0.188759
2019-02-25,601319.SH,0.1,6.8,7.26,0.285848
2019-02-26,601319.SH,0.046832,7.6,7.6,0.374092
2019-02-27,601319.SH,0.1,7.54,8.36,0.363128
2019-02-28,601319.SH,-0.0478469,8.45,7.96,0.273484
2019-03-01,601319.SH,0.100503,7.85,8.76,0.286849
2019-03-04,601319.SH,0.100457,9.3,9.64,0.218802
2019-03-05,601319.SH,0.0995851,10.0,10.6,0.358881
2019-03-06,601319.SH,0.1,11.05,11.66,0.165334
2019-03-07,601319.SH,0.100343,12.83,12.83,0.013827
2019-03-08,601319.SH,-0.0997662,11.55,11.55,0.432136
2019-02-18,000651.SZ,0.0312796,43.29,44.09,0.008045
2019-02-19,000651.SZ,0.0121783,44.5,44.62,0.008917
2019-02-20,000651.SZ,0.00817253,44.99,44.99,0.005606
2019-02-21,000651.SZ,-0.00337762,45.1,44.84,0.007532
2019-02-22,000651.SZ,0.00271125,44.79,44.96,0.007557
2019-02-25,000651.SZ,0.0383055,45.11,46.08,0.01558
2019-02-26,000651.SZ,-0.0249566,46.02,44.93,0.011311
2019-02-27,000651.SZ,-0.0084576,45.3,44.55,0.007867
2019-02-28,000651.SZ,0.00561167,44.5,44.8,0.005802
2019-03-01,000651.SZ,0.0207589,45.16,45.73,0.010805
2019-03-04,000651.SZ,0.0201181,46.27,46.65,0.014746
2019-03-05,000651.SZ,0.00921758,47.05,47.08,0.008997
2019-03-06,000651.SZ,0.000424809,47.3,47.1,0.007979
2019-03-07,000651.SZ,-0.0288747,47.1,45.74,0.010656
2019-03-08,000651.SZ,-0.0268911,44.76,44.51,0.01059
